X,Y,Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2
125000.05098850411,439988.64938485227,0.06591758450723142,0.15726444715534862,0.09488568071122705,0.229100767757554,0.15268458683852462,0.3702315370369291
124999.38893338508,449988.73169951554,0.0602955979114124,0.14320019147600196,0.0831464297058155,0.20105862553703135,0.12514648859776342,0.3077480992311958
124998.72507154195,459988.8140565739,0.05682851888407098,0.13428877695166463,0.07689646731376501,0.1855025359723662,0.10973936362949757,0.27189869041034975
124998.05940469637,469988.8964569812,0.054498497008759327,0.12841340607452015,0.07833867053970911,0.1874995765730013,0.12937737478466332,0.31231210219763794
124997.39193458146,479988.97890167555,0.0512846276585195,0.12042881346733744,0.07570068925562246,0.1801423702589842,0.13832140264851606,0.32719270371542136
124996.72266292892,489989.06139159435,0.047074389630001275,0.10984279132501067,0.06407861664224297,0.15231360634033803,0.09765543785006495,0.23714888701102266
124996.0515914781,499989.1439276623,0.04304287671747461,0.09986330485828322,0.05495656264004716,0.13006101884862473,0.07460181908566178,0.1810565358301417
124995.3787219713,509989.226510805,0.04001581402879019,0.09234561067491429,0.049536473565677266,0.11651556299964454,0.06403207489341518,0.15421229185175914
124994.70405615674,519989.3091419337,0.0379514828541334,0.08716464321551207,0.046336053465421564,0.10837382950083288,0.058726239205745434,0.14042816634938418
124994.02759578466,529989.391821962,0.03661512706358515,0.08377555250139958,0.044439535567207054,0.1034793610738403,0.055901812777948964,0.1329581168529164
124993.34934261293,539989.4745517874,0.035712997979933776,0.08146416866101396,0.043238742602498194,0.1003386265635752,0.05425169701596106,0.1285205679245152
124992.66929840192,549989.5573323098,0.03518450343521367,0.08010126273440409,0.042558953493800414,0.09854321514286482,0.053358263383880535,0.12608559474484082
124991.98746491747,559989.6401644154,0.03493531676438293,0.07946046754525765,0.04223988506419268,0.09770019335328942,0.05293954508616087,0.12494229852843856
124991.30384392824,569989.7230489862,0.03491513808090001,0.07942278450052986,0.0422005111042202,0.09761173751307797,0.052861462180871746,0.12475046408817728
124990.61843721014,579989.8059869013,0.035126138687201304,0.08000818520661367,0.042446693170871415,0.09831196704706481,0.05314031872162411,0.1255787883816599
124989.93124654033,589989.8889790259,0.035648420591715975,0.08143502805219277,0.04309958527033466,0.1001351108674481,0.05397331868117197,0.12797756802505514
124989.24227370419,599989.9720262265,0.03656311582374008,0.08392074037671195,0.044303903127982935,0.10347598340480689,0.05563521262860235,0.13270379552113423
124988.55152048786,609990.0551293573,0.03814785958145998,0.08817717551300937,0.04651582169988246,0.10953682801085146,0.05894044899928619,0.1419450483891801
124987.85898868302,619990.1382892666,0.04080085369576927,0.09513537937029239,0.050524993958547725,0.1202438639129204,0.06551760416995457,0.1597670511753083
124987.16468008759,629990.2215067983,0.045157216125645695,0.10607133835488243,0.05786502685371253,0.13883498601893857,0.07897095916449567,0.19386859642640356
124986.4685965023,639990.3047827863,0.050257846442604434,0.11825547152493557,0.06733749667643804,0.16129101030583395,0.0974762514763255,0.23703379166764796
124985.77073973425,649990.388118064,0.05264481578659733,0.12382854074482445,0.07148612147037385,0.17101281580061306,0.10453444413697022,0.25366968019955893
124985.07111158947,659990.4715134524,0.05074456362895001,0.1194372054698966,0.0674090628260125,0.1619295970513253,0.09584810384468986,0.23510688504402688
124984.36971388588,669990.5549697677,0.048465336020918015,0.1138495131493053,0.06371898861002337,0.15303338854674794,0.09078758991833434,0.22347760888854112
124983.6665484403,679990.6384878166,0.04845839024506079,0.11352110495138697,0.06521636489393628,0.156175984062486,0.10008076642509223,0.24459348237853615
124982.96161707862,689990.7220684063,0.05077323494913791,0.11892232713376642,0.07086320434489117,0.16959933093771695,0.11405461697929829,0.2781846174601416
124982.25492162515,699990.8057123292,0.05262718979369478,0.12343023032666685,0.07388178724495316,0.17716463474299202,0.1177063706024041,0.2881635241392204
124981.54646391314,709990.8894203772,0.05386797685027148,0.126614814993645,0.07463139563011842,0.17945591354989893,0.11559373090794829,0.28425005336598425
124980.83624577889,719990.9731933313,0.05562412458041334,0.13112721489591964,0.07718857932935132,0.18608129246070515,0.1201076462532407,0.2954803296841354
124980.12426906466,729991.0570319685,0.05662989709406414,0.13379651665481454,0.07802599637276739,0.18846472147522406,0.12049208853894022,0.29679033221660656
124979.41053561342,739991.1409370569,0.05715893879343788,0.13530419037328895,0.077586935032582,0.18775232185915505,0.11724388973446573,0.2895875969861279
124978.69504727551,749991.2249093612,0.05876734413263364,0.13948749784994283,0.07985807265737639,0.19366542804057899,0.12139160011949839,0.2998240503395605
124977.97780590742,759991.3089496343,0.06006846443300708,0.14292685748482167,0.0810971201456939,0.19712110115347464,0.12213397979840791,0.3022283723163471
124977.25881336337,769991.393058628,0.06116986876161387,0.1458902498573796,0.08152039389378604,0.19866182166758642,0.11985262595959038,0.29781100216724476
124976.53807150899,779991.4772370807,0.06358648190573532,0.15213951068428982,0.08489707388844929,0.20749463291425033,0.1250699381978532,0.3112212355392958
124975.81558220883,789991.5614857334,0.0668812194001151,0.1606357742970939,0.08909104045398102,0.21863081842088178,0.12942495141454996,0.3237008267191135
124975.09134733625,799991.6458053107,0.07107405354472117,0.1712931571461574,0.09485691658723366,0.23363843117968158,0.13573341516573365,0.34166277906184217
124974.36536876675,809991.7301965352,0.07813797602501812,0.18891796213008208,0.10707143216630675,0.2639772578218784,0.15657260782543275,0.39370357030129455
